technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning,dependency_type,extraction_provenance
Rotary Tablet Press,Turret,0.95,"Rotating turret holds the dies and punches, enabling continuous tablet compression; critical mechanical assembly distinctive to rotary designs.",Stainless steel,0.948,Proposed by Agent1 as key material for Turret Assembly,722000.0,Japan,metric tons,0.0,3.7,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Turret,0.95,"Rotating turret holds the dies and punches, enabling continuous tablet compression; critical mechanical assembly distinctive to rotary designs.",Stainless steel,0.948,Proposed by Agent1 as key material for Turret Assembly,722000.0,Russia,metric tons,0.0,3.9,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Turret,0.95,"Rotating turret holds the dies and punches, enabling continuous tablet compression; critical mechanical assembly distinctive to rotary designs.",Stainless steel,0.948,Proposed by Agent1 as key material for Turret Assembly,722000.0,South Korea,metric tons,0.0,2.5,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Turret,0.95,"Rotating turret holds the dies and punches, enabling continuous tablet compression; critical mechanical assembly distinctive to rotary designs.",Aluminum,0.75,Proposed by Agent2 as key material for Turret,280300.0,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Turret,0.95,"Rotating turret holds the dies and punches, enabling continuous tablet compression; critical mechanical assembly distinctive to rotary designs.",Aluminum,0.75,Proposed by Agent2 as key material for Turret,280300.0,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Turret,0.95,"Rotating turret holds the dies and punches, enabling continuous tablet compression; critical mechanical assembly distinctive to rotary designs.",Aluminum,0.75,Proposed by Agent2 as key material for Turret,280300.0,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Turret,0.95,"Rotating turret holds the dies and punches, enabling continuous tablet compression; critical mechanical assembly distinctive to rotary designs.",Aluminum,0.75,Proposed by Agent2 as key material for Turret,280300.0,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Turret,0.95,"Rotating turret holds the dies and punches, enabling continuous tablet compression; critical mechanical assembly distinctive to rotary designs.",Aluminum,0.75,Proposed by Agent2 as key material for Turret,280300.0,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Turret,0.95,"Rotating turret holds the dies and punches, enabling continuous tablet compression; critical mechanical assembly distinctive to rotary designs.",Boron carbide,0.64,Proposed by Agent3 as key material for Turret,284920.0,China,metric tons,0.0,45.0,0.6,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Turret,0.95,"Rotating turret holds the dies and punches, enabling continuous tablet compression; critical mechanical assembly distinctive to rotary designs.",Boron carbide,0.64,Proposed by Agent3 as key material for Turret,284920.0,United States,metric tons,0.0,30.0,0.55,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Turret,0.95,"Rotating turret holds the dies and punches, enabling continuous tablet compression; critical mechanical assembly distinctive to rotary designs.",Boron carbide,0.64,Proposed by Agent3 as key material for Turret,284920.0,Russia,metric tons,0.0,10.0,0.5,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Turret,0.95,"Rotating turret holds the dies and punches, enabling continuous tablet compression; critical mechanical assembly distinctive to rotary designs.",Boron carbide,0.64,Proposed by Agent3 as key material for Turret,284920.0,Turkey,metric tons,0.0,10.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Compression Roller or Cam System,0.95,Apply compressive force on punches to form tablets; a key mechanical subsystem universally present in rotary tablet presses.,Stainless steel,0.963,Proposed by Agent1 as key material for Compression Roller Or Cam System,722000.0,China,metric tons,0.0,29.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Compression Roller or Cam System,0.95,Apply compressive force on punches to form tablets; a key mechanical subsystem universally present in rotary tablet presses.,Stainless steel,0.963,Proposed by Agent1 as key material for Compression Roller Or Cam System,722000.0,India,metric tons,0.0,7.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Compression Roller or Cam System,0.95,Apply compressive force on punches to form tablets; a key mechanical subsystem universally present in rotary tablet presses.,Stainless steel,0.963,Proposed by Agent1 as key material for Compression Roller Or Cam System,722000.0,Japan,metric tons,0.0,3.7,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Compression Roller or Cam System,0.95,Apply compressive force on punches to form tablets; a key mechanical subsystem universally present in rotary tablet presses.,Stainless steel,0.963,Proposed by Agent1 as key material for Compression Roller Or Cam System,722000.0,Russia,metric tons,0.0,3.9,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Compression Roller or Cam System,0.95,Apply compressive force on punches to form tablets; a key mechanical subsystem universally present in rotary tablet presses.,Stainless steel,0.963,Proposed by Agent1 as key material for Compression Roller Or Cam System,722000.0,South Korea,metric tons,0.0,2.5,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Compression Roller or Cam System,0.95,Apply compressive force on punches to form tablets; a key mechanical subsystem universally present in rotary tablet presses.,Boron carbide,0.683,Proposed by Agent2 as key material for Compression Roller Or Cam System,284920.0,China,metric tons,0.0,45.0,0.6,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Compression Roller or Cam System,0.95,Apply compressive force on punches to form tablets; a key mechanical subsystem universally present in rotary tablet presses.,Boron carbide,0.683,Proposed by Agent2 as key material for Compression Roller Or Cam System,284920.0,United States,metric tons,0.0,30.0,0.55,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Compression Roller or Cam System,0.95,Apply compressive force on punches to form tablets; a key mechanical subsystem universally present in rotary tablet presses.,Boron carbide,0.683,Proposed by Agent2 as key material for Compression Roller Or Cam System,284920.0,Russia,metric tons,0.0,10.0,0.5,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Compression Roller or Cam System,0.95,Apply compressive force on punches to form tablets; a key mechanical subsystem universally present in rotary tablet presses.,Boron carbide,0.683,Proposed by Agent2 as key material for Compression Roller Or Cam System,284920.0,Turkey,metric tons,0.0,10.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Boron carbide,constituent,
Rotary Tablet Press,Feeding System,0.95,Feeds powder granules consistently into the dies; a standard subassembly in all rotary tablet presses.,Stainless steel,0.883,Proposed by Agent1 as key material for Feeding System,722000.0,China,metric tons,0.0,29.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Feeding System,0.95,Feeds powder granules consistently into the dies; a standard subassembly in all rotary tablet presses.,Stainless steel,0.883,Proposed by Agent1 as key material for Feeding System,722000.0,India,metric tons,0.0,7.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Feeding System,0.95,Feeds powder granules consistently into the dies; a standard subassembly in all rotary tablet presses.,Stainless steel,0.883,Proposed by Agent1 as key material for Feeding System,722000.0,Japan,metric tons,0.0,3.7,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Feeding System,0.95,Feeds powder granules consistently into the dies; a standard subassembly in all rotary tablet presses.,Stainless steel,0.883,Proposed by Agent1 as key material for Feeding System,722000.0,Russia,metric tons,0.0,3.9,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Feeding System,0.95,Feeds powder granules consistently into the dies; a standard subassembly in all rotary tablet presses.,Stainless steel,0.883,Proposed by Agent1 as key material for Feeding System,722000.0,South Korea,metric tons,0.0,2.5,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Feeding System,0.95,Feeds powder granules consistently into the dies; a standard subassembly in all rotary tablet presses.,Aluminum,0.733,Proposed by Agent2 as key material for Feeding System,280300.0,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Feeding System,0.95,Feeds powder granules consistently into the dies; a standard subassembly in all rotary tablet presses.,Aluminum,0.733,Proposed by Agent2 as key material for Feeding System,280300.0,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Feeding System,0.95,Feeds powder granules consistently into the dies; a standard subassembly in all rotary tablet presses.,Aluminum,0.733,Proposed by Agent2 as key material for Feeding System,280300.0,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Feeding System,0.95,Feeds powder granules consistently into the dies; a standard subassembly in all rotary tablet presses.,Aluminum,0.733,Proposed by Agent2 as key material for Feeding System,280300.0,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Feeding System,0.95,Feeds powder granules consistently into the dies; a standard subassembly in all rotary tablet presses.,Aluminum,0.733,Proposed by Agent2 as key material for Feeding System,280300.0,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Feeding System,0.95,Feeds powder granules consistently into the dies; a standard subassembly in all rotary tablet presses.,Borosilicate glass,0.475,Proposed by Agent3 as key material for Feeding System,700800.0,China,metric tons,4700000.0,40.0,0.883,LLM fallback cache (previously computed) - no USGS data available for Borosilicate glass,constituent,
Rotary Tablet Press,Feeding System,0.95,Feeds powder granules consistently into the dies; a standard subassembly in all rotary tablet presses.,Borosilicate glass,0.475,Proposed by Agent3 as key material for Feeding System,700800.0,United States,metric tons,1660000.0,14.0,0.843,LLM fallback cache (previously computed) - no USGS data available for Borosilicate glass,constituent,
Rotary Tablet Press,Feeding System,0.95,Feeds powder granules consistently into the dies; a standard subassembly in all rotary tablet presses.,Borosilicate glass,0.475,Proposed by Agent3 as key material for Feeding System,700800.0,Germany,metric tons,1266666.6666666667,12.33,0.81,LLM fallback cache (previously computed) - no USGS data available for Borosilicate glass,constituent,
Rotary Tablet Press,Feeding System,0.95,Feeds powder granules consistently into the dies; a standard subassembly in all rotary tablet presses.,Borosilicate glass,0.475,Proposed by Agent3 as key material for Feeding System,700800.0,India,metric tons,840000.0,8.0,0.767,LLM fallback cache (previously computed) - no USGS data available for Borosilicate glass,constituent,
Rotary Tablet Press,Feeding System,0.95,Feeds powder granules consistently into the dies; a standard subassembly in all rotary tablet presses.,Borosilicate glass,0.475,Proposed by Agent3 as key material for Feeding System,700800.0,Japan,metric tons,893333.3333333334,7.67,0.783,LLM fallback cache (previously computed) - no USGS data available for Borosilicate glass,constituent,
Rotary Tablet Press,Main Drive Motor and Transmission,0.9,Provides the mechanical power and motion to rotate the turret and operate the press; essential and procured as a unit.,Copper,0.95,Proposed by Agent1 as key material for Main Drive Motor And Transmission,740100.0,CHINA,THOUSAND METRIC TONS,1700.0,3.47,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Main Drive Motor and Transmission,0.9,Provides the mechanical power and motion to rotate the turret and operate the press; essential and procured as a unit.,Copper,0.95,Proposed by Agent1 as key material for Main Drive Motor And Transmission,740100.0,CHILE,THOUSAND METRIC TONS,5000.0,10.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Main Drive Motor and Transmission,0.9,Provides the mechanical power and motion to rotate the turret and operate the press; essential and procured as a unit.,Copper,0.95,Proposed by Agent1 as key material for Main Drive Motor And Transmission,740100.0,OTHER,THOUSAND METRIC TONS,3100.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Main Drive Motor and Transmission,0.9,Provides the mechanical power and motion to rotate the turret and operate the press; essential and procured as a unit.,Copper,0.95,Proposed by Agent1 as key material for Main Drive Motor And Transmission,740100.0,CONGO,THOUSAND METRIC TONS,2500.0,5.1,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Main Drive Motor and Transmission,0.9,Provides the mechanical power and motion to rotate the turret and operate the press; essential and procured as a unit.,Copper,0.95,Proposed by Agent1 as key material for Main Drive Motor And Transmission,740100.0,PERU,THOUSAND METRIC TONS,2600.0,5.31,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Main Drive Motor and Transmission,0.9,Provides the mechanical power and motion to rotate the turret and operate the press; essential and procured as a unit.,Stainless steel,0.9,Proposed by Agent1 as key material for Main Drive Motor And Transmission,722000.0,China,metric tons,0.0,29.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Main Drive Motor and Transmission,0.9,Provides the mechanical power and motion to rotate the turret and operate the press; essential and procured as a unit.,Stainless steel,0.9,Proposed by Agent1 as key material for Main Drive Motor And Transmission,722000.0,India,metric tons,0.0,7.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Main Drive Motor and Transmission,0.9,Provides the mechanical power and motion to rotate the turret and operate the press; essential and procured as a unit.,Stainless steel,0.9,Proposed by Agent1 as key material for Main Drive Motor And Transmission,722000.0,Japan,metric tons,0.0,3.7,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Main Drive Motor and Transmission,0.9,Provides the mechanical power and motion to rotate the turret and operate the press; essential and procured as a unit.,Stainless steel,0.9,Proposed by Agent1 as key material for Main Drive Motor And Transmission,722000.0,Russia,metric tons,0.0,3.9,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Main Drive Motor and Transmission,0.9,Provides the mechanical power and motion to rotate the turret and operate the press; essential and procured as a unit.,Stainless steel,0.9,Proposed by Agent1 as key material for Main Drive Motor And Transmission,722000.0,South Korea,metric tons,0.0,2.5,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Main Drive Motor and Transmission,0.9,Provides the mechanical power and motion to rotate the turret and operate the press; essential and procured as a unit.,Aluminum,0.783,Proposed by Agent3 as key material for Main Drive Motor And Transmission,280300.0,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Main Drive Motor and Transmission,0.9,Provides the mechanical power and motion to rotate the turret and operate the press; essential and procured as a unit.,Aluminum,0.783,Proposed by Agent3 as key material for Main Drive Motor And Transmission,280300.0,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Main Drive Motor and Transmission,0.9,Provides the mechanical power and motion to rotate the turret and operate the press; essential and procured as a unit.,Aluminum,0.783,Proposed by Agent3 as key material for Main Drive Motor And Transmission,280300.0,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Main Drive Motor and Transmission,0.9,Provides the mechanical power and motion to rotate the turret and operate the press; essential and procured as a unit.,Aluminum,0.783,Proposed by Agent3 as key material for Main Drive Motor And Transmission,280300.0,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Main Drive Motor and Transmission,0.9,Provides the mechanical power and motion to rotate the turret and operate the press; essential and procured as a unit.,Aluminum,0.783,Proposed by Agent3 as key material for Main Drive Motor And Transmission,280300.0,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Rotary Tablet Press,Cam Tracks and Follower Mechanism,0.9,"Controls the vertical movement of punches for filling, compression, and ejection cycles; a standard mechanical subassembly.",Stainless steel,0.95,Proposed by Agent1 as key material for Cam Tracks And Follower Mechanism,722000.0,China,metric tons,0.0,29.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Cam Tracks and Follower Mechanism,0.9,"Controls the vertical movement of punches for filling, compression, and ejection cycles; a standard mechanical subassembly.",Stainless steel,0.95,Proposed by Agent1 as key material for Cam Tracks And Follower Mechanism,722000.0,India,metric tons,0.0,7.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Rotary Tablet Press,Cam Tracks and Follower Mechanism,0.9,"Controls the vertical movement of punches for filling, compression, and ejection cycles; a standard mechanical subassembly.",Stainless steel,0.95,Proposed by Agent1 as key material for Cam Tracks And Follower Mechanism,722000.0,Japan,metric tons,0.0,3.7,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
