technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning,dependency_type,extraction_provenance
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Aluminum oxide,0.7,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),281820.0,China,metric tons,73500000.0,54.67,0.92,LLM fallback cache (previously computed) - no USGS data available for Aluminum oxide,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Aluminum oxide,0.7,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),281820.0,Australia,metric tons,19733333.333333332,14.67,0.9,LLM fallback cache (previously computed) - no USGS data available for Aluminum oxide,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Aluminum oxide,0.7,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),281820.0,India,metric tons,6966666.666666667,5.17,0.843,LLM fallback cache (previously computed) - no USGS data available for Aluminum oxide,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Aluminum oxide,0.7,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),281820.0,Brazil,metric tons,9300000.0,6.93,0.837,LLM fallback cache (previously computed) - no USGS data available for Aluminum oxide,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Aluminum oxide,0.7,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),281820.0,United States,metric tons,3500000.0,2.6,0.88,LLM fallback cache (previously computed) - no USGS data available for Aluminum oxide,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Borosilicate glass,0.567,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),700800.0,China,metric tons,4700000.0,40.0,0.883,LLM fallback cache (previously computed) - no USGS data available for Borosilicate glass,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Borosilicate glass,0.567,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),700800.0,United States,metric tons,1660000.0,14.0,0.843,LLM fallback cache (previously computed) - no USGS data available for Borosilicate glass,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Borosilicate glass,0.567,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),700800.0,Germany,metric tons,1266666.6666666667,12.33,0.81,LLM fallback cache (previously computed) - no USGS data available for Borosilicate glass,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Borosilicate glass,0.567,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),700800.0,India,metric tons,840000.0,8.0,0.767,LLM fallback cache (previously computed) - no USGS data available for Borosilicate glass,constituent,
Real-Time PCR Thermocycler,Thermal Cycler Block (Heated/Cooled Reaction Block),0.98,"Strong consensus with highest confidence (1.00 and above), critical for PCR thermal cycling functionality.",Borosilicate glass,0.567,Proposed by Agent1 as key material for Thermal Cycler Block (heated/cooled Reaction Block),700800.0,Japan,metric tons,893333.3333333334,7.67,0.783,LLM fallback cache (previously computed) - no USGS data available for Borosilicate glass,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Borosilicate glass,0.917,Proposed by Agent1 as key material for Fluorescence Detection System (optics Module),700800.0,China,metric tons,4700000.0,40.0,0.883,LLM fallback cache (previously computed) - no USGS data available for Borosilicate glass,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Borosilicate glass,0.917,Proposed by Agent1 as key material for Fluorescence Detection System (optics Module),700800.0,United States,metric tons,1660000.0,14.0,0.843,LLM fallback cache (previously computed) - no USGS data available for Borosilicate glass,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Borosilicate glass,0.917,Proposed by Agent1 as key material for Fluorescence Detection System (optics Module),700800.0,Germany,metric tons,1266666.6666666667,12.33,0.81,LLM fallback cache (previously computed) - no USGS data available for Borosilicate glass,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Borosilicate glass,0.917,Proposed by Agent1 as key material for Fluorescence Detection System (optics Module),700800.0,India,metric tons,840000.0,8.0,0.767,LLM fallback cache (previously computed) - no USGS data available for Borosilicate glass,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Borosilicate glass,0.917,Proposed by Agent1 as key material for Fluorescence Detection System (optics Module),700800.0,Japan,metric tons,893333.3333333334,7.67,0.783,LLM fallback cache (previously computed) - no USGS data available for Borosilicate glass,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Aluminum,0.75,Proposed by Agent2 as key material for Fluorescence Detection System (optics Module),280300.0,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Aluminum,0.75,Proposed by Agent2 as key material for Fluorescence Detection System (optics Module),280300.0,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Aluminum,0.75,Proposed by Agent2 as key material for Fluorescence Detection System (optics Module),280300.0,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Aluminum,0.75,Proposed by Agent2 as key material for Fluorescence Detection System (optics Module),280300.0,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Aluminum,0.75,Proposed by Agent2 as key material for Fluorescence Detection System (optics Module),280300.0,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Aluminum gallium arsenide,0.733,Proposed by Agent1 as key material for Fluorescence Detection System (optics Module),282890.0,United States,metric tons,0.0,30.0,0.6,LLM fallback cache (previously computed) - no USGS data available for Aluminum gallium arsenide,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Aluminum gallium arsenide,0.733,Proposed by Agent1 as key material for Fluorescence Detection System (optics Module),282890.0,Taiwan,metric tons,0.0,25.0,0.6,LLM fallback cache (previously computed) - no USGS data available for Aluminum gallium arsenide,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Aluminum gallium arsenide,0.733,Proposed by Agent1 as key material for Fluorescence Detection System (optics Module),282890.0,China,metric tons,0.0,20.0,0.55,LLM fallback cache (previously computed) - no USGS data available for Aluminum gallium arsenide,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Aluminum gallium arsenide,0.733,Proposed by Agent1 as key material for Fluorescence Detection System (optics Module),282890.0,Japan,metric tons,0.0,15.0,0.55,LLM fallback cache (previously computed) - no USGS data available for Aluminum gallium arsenide,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Aluminum gallium arsenide,0.733,Proposed by Agent1 as key material for Fluorescence Detection System (optics Module),282890.0,South Korea,metric tons,0.0,10.0,0.5,LLM fallback cache (previously computed) - no USGS data available for Aluminum gallium arsenide,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Silicon,0.85,Proposed by Agent2 as key material for Fluorescence Detection System (optics Module),280469.0,CHINA,THOUSAND METRIC TONS,3600.0,40.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Silicon,0.85,Proposed by Agent2 as key material for Fluorescence Detection System (optics Module),280469.0,RUSSIA,THOUSAND METRIC TONS,570.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Silicon,0.85,Proposed by Agent2 as key material for Fluorescence Detection System (optics Module),280469.0,BRAZIL,THOUSAND METRIC TONS,190.0,2.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Silicon,0.85,Proposed by Agent2 as key material for Fluorescence Detection System (optics Module),280469.0,NORWAY,THOUSAND METRIC TONS,200.0,2.22,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Fluorescence Detection System (Optics Module),0.95,Unanimous support from agents with high confidence; critical for detecting fluorescence signals during PCR.,Silicon,0.85,Proposed by Agent2 as key material for Fluorescence Detection System (optics Module),280469.0,OTHER,THOUSAND METRIC TONS,100.0,1.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermoelectric Module (TEC),0.95,All agents support this or equivalent Peltier components with high confidence; vital for precise heating and cooling control.,Bismuth telluride,0.95,Proposed by Agent1 as key material for Thermoelectric Module (tec),284390.0,China,metric tons,0.0,47.0,0.3,LLM fallback cache (previously computed) - no USGS data available for Bismuth telluride,constituent,
Real-Time PCR Thermocycler,Thermoelectric Module (TEC),0.95,All agents support this or equivalent Peltier components with high confidence; vital for precise heating and cooling control.,Bismuth telluride,0.95,Proposed by Agent1 as key material for Thermoelectric Module (tec),284390.0,United States,metric tons,0.0,20.0,0.3,LLM fallback cache (previously computed) - no USGS data available for Bismuth telluride,constituent,
Real-Time PCR Thermocycler,Thermoelectric Module (TEC),0.95,All agents support this or equivalent Peltier components with high confidence; vital for precise heating and cooling control.,Bismuth telluride,0.95,Proposed by Agent1 as key material for Thermoelectric Module (tec),284390.0,Russia,metric tons,0.0,14.0,0.3,LLM fallback cache (previously computed) - no USGS data available for Bismuth telluride,constituent,
Real-Time PCR Thermocycler,Thermoelectric Module (TEC),0.95,All agents support this or equivalent Peltier components with high confidence; vital for precise heating and cooling control.,Bismuth telluride,0.95,Proposed by Agent1 as key material for Thermoelectric Module (tec),284390.0,Canada,metric tons,0.0,10.0,0.3,LLM fallback cache (previously computed) - no USGS data available for Bismuth telluride,constituent,
Real-Time PCR Thermocycler,Thermoelectric Module (TEC),0.95,All agents support this or equivalent Peltier components with high confidence; vital for precise heating and cooling control.,Bismuth telluride,0.95,Proposed by Agent1 as key material for Thermoelectric Module (tec),284390.0,Australia,metric tons,0.0,9.0,0.3,LLM fallback cache (previously computed) - no USGS data available for Bismuth telluride,constituent,
Real-Time PCR Thermocycler,Thermoelectric Module (TEC),0.95,All agents support this or equivalent Peltier components with high confidence; vital for precise heating and cooling control.,Copper,0.85,Proposed by Agent1 as key material for Thermoelectric Module (tec),740100.0,CHINA,THOUSAND METRIC TONS,1700.0,3.47,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermoelectric Module (TEC),0.95,All agents support this or equivalent Peltier components with high confidence; vital for precise heating and cooling control.,Copper,0.85,Proposed by Agent1 as key material for Thermoelectric Module (tec),740100.0,CHILE,THOUSAND METRIC TONS,5000.0,10.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermoelectric Module (TEC),0.95,All agents support this or equivalent Peltier components with high confidence; vital for precise heating and cooling control.,Copper,0.85,Proposed by Agent1 as key material for Thermoelectric Module (tec),740100.0,OTHER,THOUSAND METRIC TONS,3100.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermoelectric Module (TEC),0.95,All agents support this or equivalent Peltier components with high confidence; vital for precise heating and cooling control.,Copper,0.85,Proposed by Agent1 as key material for Thermoelectric Module (tec),740100.0,CONGO,THOUSAND METRIC TONS,2500.0,5.1,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermoelectric Module (TEC),0.95,All agents support this or equivalent Peltier components with high confidence; vital for precise heating and cooling control.,Copper,0.85,Proposed by Agent1 as key material for Thermoelectric Module (tec),740100.0,PERU,THOUSAND METRIC TONS,2600.0,5.31,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermoelectric Module (TEC),0.95,All agents support this or equivalent Peltier components with high confidence; vital for precise heating and cooling control.,Aluminum,0.7,Proposed by Agent1 as key material for Thermoelectric Module (tec),280300.0,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermoelectric Module (TEC),0.95,All agents support this or equivalent Peltier components with high confidence; vital for precise heating and cooling control.,Aluminum,0.7,Proposed by Agent1 as key material for Thermoelectric Module (tec),280300.0,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermoelectric Module (TEC),0.95,All agents support this or equivalent Peltier components with high confidence; vital for precise heating and cooling control.,Aluminum,0.7,Proposed by Agent1 as key material for Thermoelectric Module (tec),280300.0,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermoelectric Module (TEC),0.95,All agents support this or equivalent Peltier components with high confidence; vital for precise heating and cooling control.,Aluminum,0.7,Proposed by Agent1 as key material for Thermoelectric Module (tec),280300.0,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Thermoelectric Module (TEC),0.95,All agents support this or equivalent Peltier components with high confidence; vital for precise heating and cooling control.,Aluminum,0.7,Proposed by Agent1 as key material for Thermoelectric Module (tec),280300.0,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Silicon,0.97,Proposed by Agent1 as key material for Control Electronics And Microprocessor Board,280469.0,CHINA,THOUSAND METRIC TONS,3600.0,40.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Silicon,0.97,Proposed by Agent1 as key material for Control Electronics And Microprocessor Board,280469.0,RUSSIA,THOUSAND METRIC TONS,570.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Silicon,0.97,Proposed by Agent1 as key material for Control Electronics And Microprocessor Board,280469.0,BRAZIL,THOUSAND METRIC TONS,190.0,2.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Silicon,0.97,Proposed by Agent1 as key material for Control Electronics And Microprocessor Board,280469.0,NORWAY,THOUSAND METRIC TONS,200.0,2.22,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Silicon,0.97,Proposed by Agent1 as key material for Control Electronics And Microprocessor Board,280469.0,OTHER,THOUSAND METRIC TONS,100.0,1.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Copper,0.9,Proposed by Agent1 as key material for Control Electronics And Microprocessor Board,740100.0,CHINA,THOUSAND METRIC TONS,1700.0,3.47,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Copper,0.9,Proposed by Agent1 as key material for Control Electronics And Microprocessor Board,740100.0,CHILE,THOUSAND METRIC TONS,5000.0,10.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Copper,0.9,Proposed by Agent1 as key material for Control Electronics And Microprocessor Board,740100.0,OTHER,THOUSAND METRIC TONS,3100.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Copper,0.9,Proposed by Agent1 as key material for Control Electronics And Microprocessor Board,740100.0,CONGO,THOUSAND METRIC TONS,2500.0,5.1,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Copper,0.9,Proposed by Agent1 as key material for Control Electronics And Microprocessor Board,740100.0,PERU,THOUSAND METRIC TONS,2600.0,5.31,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Boron,0.725,Proposed by Agent1 as key material for Control Electronics And Microprocessor Board,280450.0,Turkey,metric tons,2433333.3333333335,73.0,0.907,LLM fallback cache (previously computed) - no USGS data available for Boron,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Boron,0.725,Proposed by Agent1 as key material for Control Electronics And Microprocessor Board,280450.0,United States,metric tons,390000.0,11.67,0.887,LLM fallback cache (previously computed) - no USGS data available for Boron,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Boron,0.725,Proposed by Agent1 as key material for Control Electronics And Microprocessor Board,280450.0,Argentina,metric tons,146666.66666666666,4.33,0.793,LLM fallback cache (previously computed) - no USGS data available for Boron,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Boron,0.725,Proposed by Agent1 as key material for Control Electronics And Microprocessor Board,280450.0,Chile,metric tons,130000.0,3.83,0.79,LLM fallback cache (previously computed) - no USGS data available for Boron,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Boron,0.725,Proposed by Agent1 as key material for Control Electronics And Microprocessor Board,280450.0,Russia,metric tons,95666.66666666669,2.83,0.7,LLM fallback cache (previously computed) - no USGS data available for Boron,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Aluminum,0.675,Proposed by Agent2 as key material for Control Electronics And Microprocessor Board,280300.0,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Aluminum,0.675,Proposed by Agent2 as key material for Control Electronics And Microprocessor Board,280300.0,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Real-Time PCR Thermocycler,Control Electronics and Microprocessor Board,0.93,Strong consensus and high confidence across agents; fundamental for device control and processing.,Aluminum,0.675,Proposed by Agent2 as key material for Control Electronics And Microprocessor Board,280300.0,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
