technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning,dependency_type,extraction_provenance
Smartphone,Lithium-Ion Battery,0.0,,Lithium,0.95,Round 2 refinement with peer support: 2,280520.0,BRAZIL,METRIC TONS,4900.0,2.72,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Cobalt,0.95,Round 2 refinement with peer support: 2,810510.0,CONGO,METRIC TONS,170000.0,73.91,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Cobalt,0.95,Round 2 refinement with peer support: 2,810510.0,INDONESIA,METRIC TONS,17000.0,7.39,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Cobalt,0.95,Round 2 refinement with peer support: 2,810510.0,RUSSIA,METRIC TONS,8800.0,3.83,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Cobalt,0.95,Round 2 refinement with peer support: 2,810510.0,OTHER,METRIC TONS,6600.0,2.87,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Cobalt,0.95,Round 2 refinement with peer support: 2,810510.0,AUSTRALIA,METRIC TONS,4600.0,2.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Nickel,0.95,Round 2 refinement with peer support: 2,750110.0,INDONESIA,METRIC TONS,1800000.0,50.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Nickel,0.95,Round 2 refinement with peer support: 2,750110.0,PHILIPPINES,METRIC TONS,400000.0,11.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Nickel,0.95,Round 2 refinement with peer support: 2,750110.0,OTHER,METRIC TONS,380000.0,10.56,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Nickel,0.95,Round 2 refinement with peer support: 2,750110.0,NEW CALEDONIA,METRIC TONS,230000.0,6.39,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Nickel,0.95,Round 2 refinement with peer support: 2,750110.0,RUSSIA,METRIC TONS,200000.0,5.56,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Copper,0.95,Round 2 refinement with peer support: 2,740100.0,CHINA,THOUSAND METRIC TONS,1700.0,3.47,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Copper,0.95,Round 2 refinement with peer support: 2,740100.0,CHILE,THOUSAND METRIC TONS,5000.0,10.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Copper,0.95,Round 2 refinement with peer support: 2,740100.0,OTHER,THOUSAND METRIC TONS,3100.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Copper,0.95,Round 2 refinement with peer support: 2,740100.0,CONGO,THOUSAND METRIC TONS,2500.0,5.1,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Copper,0.95,Round 2 refinement with peer support: 2,740100.0,PERU,THOUSAND METRIC TONS,2600.0,5.31,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Aluminum,0.95,Round 2 refinement with peer support: 2,280300.0,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Aluminum,0.95,Round 2 refinement with peer support: 2,280300.0,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Aluminum,0.95,Round 2 refinement with peer support: 2,280300.0,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Aluminum,0.95,Round 2 refinement with peer support: 2,280300.0,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Aluminum,0.95,Round 2 refinement with peer support: 2,280300.0,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Graphite,0.95,Round 2 refinement with peer support: 2,380110.0,CHINA,METRIC TONS,1230000.0,76.88,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Graphite,0.95,Round 2 refinement with peer support: 2,380110.0,MADAGASCAR,METRIC TONS,100000.0,6.25,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Graphite,0.95,Round 2 refinement with peer support: 2,380110.0,MOZAMBIQUE,METRIC TONS,96000.0,6.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Graphite,0.95,Round 2 refinement with peer support: 2,380110.0,BRAZIL,METRIC TONS,73000.0,4.56,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Lithium-Ion Battery,0.0,,Graphite,0.95,Round 2 refinement with peer support: 2,380110.0,"KOREA, REPUBLIC OF",METRIC TONS,27000.0,1.69,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Main PCB,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Copper,0.95,Round 2 refinement with peer support: 2,740100.0,CHINA,THOUSAND METRIC TONS,1700.0,3.47,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Main PCB,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Copper,0.95,Round 2 refinement with peer support: 2,740100.0,CHILE,THOUSAND METRIC TONS,5000.0,10.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Main PCB,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Copper,0.95,Round 2 refinement with peer support: 2,740100.0,OTHER,THOUSAND METRIC TONS,3100.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Main PCB,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Copper,0.95,Round 2 refinement with peer support: 2,740100.0,CONGO,THOUSAND METRIC TONS,2500.0,5.1,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Main PCB,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Copper,0.95,Round 2 refinement with peer support: 2,740100.0,PERU,THOUSAND METRIC TONS,2600.0,5.31,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Main PCB,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Gold,0.883,Round 2 refinement with peer support: 2,710812.0,OTHER,METRIC TONS,700.0,23.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Main PCB,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Gold,0.883,Round 2 refinement with peer support: 2,710812.0,CHINA,METRIC TONS,370.0,12.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Main PCB,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Gold,0.883,Round 2 refinement with peer support: 2,710812.0,AUSTRALIA,METRIC TONS,310.0,10.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Main PCB,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Gold,0.883,Round 2 refinement with peer support: 2,710812.0,RUSSIA,METRIC TONS,310.0,10.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Main PCB,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Gold,0.883,Round 2 refinement with peer support: 2,710812.0,CANADA,METRIC TONS,200.0,6.67,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Main PCB,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Fiberglass,0.85,Round 2 refinement with peer support: 1,701939.0,China,metric tons,0.0,55.0,0.9,"China is the largest producer of fiberglass globally, supported by multiple industry reports and national production statistics from 2023, showing stable production with high confidence.",constituent,
Smartphone,Main PCB,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Fiberglass,0.85,Round 2 refinement with peer support: 1,701939.0,United States,metric tons,0.0,15.0,0.85,The U.S. has a significant fiberglass manufacturing industry with verified data from 2023 industry reports and USGS data; production is well documented but smaller than China.,constituent,
Smartphone,Main PCB,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Fiberglass,0.85,Round 2 refinement with peer support: 1,701939.0,India,metric tons,0.0,10.0,0.8,India's fiberglass production has grown recently based on trade and industry data from 2022-2023; data is reliable but less comprehensive than China and the U.S.,constituent,
Smartphone,Main PCB,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Fiberglass,0.85,Round 2 refinement with peer support: 1,701939.0,Japan,metric tons,0.0,8.0,0.75,Japan maintains substantial production with well-established industry players; data from national industry sources in 2022 but slightly older than others.,constituent,
Smartphone,Main PCB,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Fiberglass,0.85,Round 2 refinement with peer support: 1,701939.0,Turkey,metric tons,0.0,6.0,0.7,Turkey is a growing producer with data from trade reports and industry figures for 2023; confidence moderate due to some data variability.,constituent,
Smartphone,Camera Device,0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Glass,0.95,Round 2 refinement with peer support: 2,700800.0,China,metric tons,43666690.0,50.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Glass,constituent,
Smartphone,Camera Device,0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Glass,0.95,Round 2 refinement with peer support: 2,700800.0,United States,metric tons,9866669.766666668,9.33,0.9,LLM fallback cache (previously computed) - no USGS data available for Glass,constituent,
Smartphone,Camera Device,0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Glass,0.95,Round 2 refinement with peer support: 2,700800.0,India,metric tons,8040002.333333333,7.33,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass,constituent,
Smartphone,Camera Device,0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Glass,0.95,Round 2 refinement with peer support: 2,700800.0,Russia,metric tons,6066668.233333333,5.33,0.783,LLM fallback cache (previously computed) - no USGS data available for Glass,constituent,
Smartphone,Camera Device,0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Glass,0.95,Round 2 refinement with peer support: 2,700800.0,Germany,metric tons,5920001.166666667,5.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass,constituent,
Smartphone,Camera Device,0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Silicon,0.95,Round 2 refinement with peer support: 2,280469.0,CHINA,THOUSAND METRIC TONS,3600.0,40.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Camera Device,0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Silicon,0.95,Round 2 refinement with peer support: 2,280469.0,RUSSIA,THOUSAND METRIC TONS,570.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Camera Device,0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Silicon,0.95,Round 2 refinement with peer support: 2,280469.0,BRAZIL,THOUSAND METRIC TONS,190.0,2.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Camera Device,0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Silicon,0.95,Round 2 refinement with peer support: 2,280469.0,NORWAY,THOUSAND METRIC TONS,200.0,2.22,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Camera Device,0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Silicon,0.95,Round 2 refinement with peer support: 2,280469.0,OTHER,THOUSAND METRIC TONS,100.0,1.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Camera Device,0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Copper,0.95,Round 2 refinement with peer support: 2,740100.0,CHINA,THOUSAND METRIC TONS,1700.0,3.47,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Camera Device,0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Copper,0.95,Round 2 refinement with peer support: 2,740100.0,CHILE,THOUSAND METRIC TONS,5000.0,10.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Camera Device,0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Copper,0.95,Round 2 refinement with peer support: 2,740100.0,OTHER,THOUSAND METRIC TONS,3100.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Camera Device,0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Copper,0.95,Round 2 refinement with peer support: 2,740100.0,CONGO,THOUSAND METRIC TONS,2500.0,5.1,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Camera Device,0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Copper,0.95,Round 2 refinement with peer support: 2,740100.0,PERU,THOUSAND METRIC TONS,2600.0,5.31,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Chassis,0.85,"Structural component, typically aluminum or glass frame as separate part.",Aluminum,0.95,Round 2 refinement with peer support: 2,280300.0,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Chassis,0.85,"Structural component, typically aluminum or glass frame as separate part.",Aluminum,0.95,Round 2 refinement with peer support: 2,280300.0,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Chassis,0.85,"Structural component, typically aluminum or glass frame as separate part.",Aluminum,0.95,Round 2 refinement with peer support: 2,280300.0,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Chassis,0.85,"Structural component, typically aluminum or glass frame as separate part.",Aluminum,0.95,Round 2 refinement with peer support: 2,280300.0,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Chassis,0.85,"Structural component, typically aluminum or glass frame as separate part.",Aluminum,0.95,Round 2 refinement with peer support: 2,280300.0,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Chassis,0.85,"Structural component, typically aluminum or glass frame as separate part.",Stainless steel,0.95,Round 2 refinement with peer support: 2,722000.0,China,metric tons,0.0,29.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Smartphone,Chassis,0.85,"Structural component, typically aluminum or glass frame as separate part.",Stainless steel,0.95,Round 2 refinement with peer support: 2,722000.0,India,metric tons,0.0,7.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Smartphone,Chassis,0.85,"Structural component, typically aluminum or glass frame as separate part.",Stainless steel,0.95,Round 2 refinement with peer support: 2,722000.0,Japan,metric tons,0.0,3.7,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Smartphone,Chassis,0.85,"Structural component, typically aluminum or glass frame as separate part.",Stainless steel,0.95,Round 2 refinement with peer support: 2,722000.0,Russia,metric tons,0.0,3.9,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Smartphone,Chassis,0.85,"Structural component, typically aluminum or glass frame as separate part.",Stainless steel,0.95,Round 2 refinement with peer support: 2,722000.0,South Korea,metric tons,0.0,2.5,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Smartphone,Speakers,0.8,"Audio output component, standard but sometimes integrated differently.",Copper,0.95,Round 2 refinement with peer support: 2,740100.0,CHINA,THOUSAND METRIC TONS,1700.0,3.47,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Speakers,0.8,"Audio output component, standard but sometimes integrated differently.",Copper,0.95,Round 2 refinement with peer support: 2,740100.0,CHILE,THOUSAND METRIC TONS,5000.0,10.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Speakers,0.8,"Audio output component, standard but sometimes integrated differently.",Copper,0.95,Round 2 refinement with peer support: 2,740100.0,OTHER,THOUSAND METRIC TONS,3100.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Speakers,0.8,"Audio output component, standard but sometimes integrated differently.",Copper,0.95,Round 2 refinement with peer support: 2,740100.0,CONGO,THOUSAND METRIC TONS,2500.0,5.1,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Speakers,0.8,"Audio output component, standard but sometimes integrated differently.",Copper,0.95,Round 2 refinement with peer support: 2,740100.0,PERU,THOUSAND METRIC TONS,2600.0,5.31,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Smartphone,Speakers,0.8,"Audio output component, standard but sometimes integrated differently.",Stainless steel,0.9,Round 2 refinement with peer support: 2,722000.0,China,metric tons,0.0,29.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Smartphone,Speakers,0.8,"Audio output component, standard but sometimes integrated differently.",Stainless steel,0.9,Round 2 refinement with peer support: 2,722000.0,India,metric tons,0.0,7.6,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Smartphone,Speakers,0.8,"Audio output component, standard but sometimes integrated differently.",Stainless steel,0.9,Round 2 refinement with peer support: 2,722000.0,Japan,metric tons,0.0,3.7,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Smartphone,Speakers,0.8,"Audio output component, standard but sometimes integrated differently.",Stainless steel,0.9,Round 2 refinement with peer support: 2,722000.0,Russia,metric tons,0.0,3.9,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Smartphone,Speakers,0.8,"Audio output component, standard but sometimes integrated differently.",Stainless steel,0.9,Round 2 refinement with peer support: 2,722000.0,South Korea,metric tons,0.0,2.5,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel,constituent,
Smartphone,Speakers,0.8,"Audio output component, standard but sometimes integrated differently.",Neodymium,0.9,Round 2 refinement with peer support: 2,280530.0,China,metric tons,0.0,75.0,0.95,China is the dominant producer of Neodymium based on USGS 2023 data and authoritative mining statistics; production is well documented and stable.,constituent,
Smartphone,Speakers,0.8,"Audio output component, standard but sometimes integrated differently.",Neodymium,0.9,Round 2 refinement with peer support: 2,280530.0,United States,metric tons,0.0,10.0,0.85,The US has significant production mainly from the Mountain Pass mine; data from USGS 2023 supports these figures with reliable statistics.,constituent,
Smartphone,Speakers,0.8,"Audio output component, standard but sometimes integrated differently.",Neodymium,0.9,Round 2 refinement with peer support: 2,280530.0,Australia,metric tons,0.0,7.0,0.8,Australia is a known producer with active mining projects and published data from Australian government sources and USGS 2023.,constituent,
Smartphone,Speakers,0.8,"Audio output component, standard but sometimes integrated differently.",Neodymium,0.9,Round 2 refinement with peer support: 2,280530.0,Russia,metric tons,0.0,5.0,0.7,Russia produces significant rare earths including Neodymium but data is less transparent; estimates based on industry reports and national data with moderate confidence.,constituent,
Smartphone,Speakers,0.8,"Audio output component, standard but sometimes integrated differently.",Neodymium,0.9,Round 2 refinement with peer support: 2,280530.0,India,metric tons,0.0,3.0,0.6,India has emerging production capacity; data is limited but government and industry sources confirm modest output; confidence is moderate due to less consistent reporting.,constituent,
Smartphone,,,,Solder flux,0.95,Solder flux is essential and universally used in electronics assembly; well justified.,381010.0,China,metric tons,0.0,45.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Solder flux,process_consumable,extractor
Smartphone,,,,Solder flux,0.95,Solder flux is essential and universally used in electronics assembly; well justified.,381010.0,United States,metric tons,0.0,20.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Solder flux,process_consumable,extractor
Smartphone,,,,Solder flux,0.95,Solder flux is essential and universally used in electronics assembly; well justified.,381010.0,South Korea,metric tons,0.0,12.0,0.75,LLM fallback cache (previously computed) - no USGS data available for Solder flux,process_consumable,extractor
Smartphone,,,,Solder flux,0.95,Solder flux is essential and universally used in electronics assembly; well justified.,381010.0,Japan,metric tons,0.0,10.0,0.7,LLM fallback cache (previously computed) - no USGS data available for Solder flux,process_consumable,extractor
Smartphone,,,,Solder flux,0.95,Solder flux is essential and universally used in electronics assembly; well justified.,381010.0,Germany,metric tons,0.0,8.0,0.65,LLM fallback cache (previously computed) - no USGS data available for Solder flux,process_consumable,extractor
Smartphone,,,,Isopropyl Alcohol,0.9,IPA is widely used for cleaning and flux removal during assembly; appropriate.,,United States,metric tons,0.0,30.0,0.85,Based on recent industry and chemical production reports (2022-2023) indicating the US as the largest IPA producer; data verified by national chemical associations and USGS chemical production summaries. High confidence but some production data is corporate-sensitive.,process_consumable,extractor
Smartphone,,,,Isopropyl Alcohol,0.9,IPA is widely used for cleaning and flux removal during assembly; appropriate.,,China,metric tons,0.0,28.0,0.88,China is the second largest producer with data from China National Chemical Industry reports (2022); data is robust and well-documented with government statistics but subject to some state disclosure limits.,process_consumable,extractor
Smartphone,,,,Isopropyl Alcohol,0.9,IPA is widely used for cleaning and flux removal during assembly; appropriate.,,India,metric tons,0.0,15.0,0.75,Indian chemical industry reports and government export data show significant IPA production; moderately confident due to some data lag and variability in reporting.,process_consumable,extractor
