agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,d4v1v1,Hydroponic Systems,Water Nutrient Pump,0.96,Supported by multiple agents with very high confidence; essential for circulating nutrient solution.,Stainless steel,0.8,"Stainless steel is commonly used for pump impellers and wetted parts due to corrosion resistance in water and nutrient solutions, industry standard with few substitutes.",722000,Japan,metric tons,3043333.3333333335,5.43,0.893,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Water Nutrient Pump,0.96,Supported by multiple agents with very high confidence; essential for circulating nutrient solution.,Stainless steel,0.8,"Stainless steel is commonly used for pump impellers and wetted parts due to corrosion resistance in water and nutrient solutions, industry standard with few substitutes.",722000,United States,metric tons,2473333.3333333335,4.43,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Water Nutrient Pump,0.96,Supported by multiple agents with very high confidence; essential for circulating nutrient solution.,Stainless steel,0.8,"Stainless steel is commonly used for pump impellers and wetted parts due to corrosion resistance in water and nutrient solutions, industry standard with few substitutes.",722000,South Korea,metric tons,2136666.6666666665,3.83,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Water Nutrient Pump,0.96,Supported by multiple agents with very high confidence; essential for circulating nutrient solution.,Polyethylene,0.65,"Polyethylene can be used for non-structural components such as seals or gaskets, moderately common though alternative polymers can replace it.",390110,China,metric tons,36283333.333333336,31.17,0.877,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Water Nutrient Pump,0.96,Supported by multiple agents with very high confidence; essential for circulating nutrient solution.,Polyethylene,0.65,"Polyethylene can be used for non-structural components such as seals or gaskets, moderately common though alternative polymers can replace it.",390110,United States,metric tons,19506666.666666668,16.73,0.87,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Water Nutrient Pump,0.96,Supported by multiple agents with very high confidence; essential for circulating nutrient solution.,Polyethylene,0.65,"Polyethylene can be used for non-structural components such as seals or gaskets, moderately common though alternative polymers can replace it.",390110,Saudi Arabia,metric tons,10090000.0,8.7,0.807,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Water Nutrient Pump,0.96,Supported by multiple agents with very high confidence; essential for circulating nutrient solution.,Polyethylene,0.65,"Polyethylene can be used for non-structural components such as seals or gaskets, moderately common though alternative polymers can replace it.",390110,South Korea,metric tons,6446666.666666667,5.53,0.84,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Water Nutrient Pump,0.96,Supported by multiple agents with very high confidence; essential for circulating nutrient solution.,Polyethylene,0.65,"Polyethylene can be used for non-structural components such as seals or gaskets, moderately common though alternative polymers can replace it.",390110,Iran,metric tons,6470000.0,5.6,0.65,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Hydroponic Growing Troughs,0.95,Strong consensus by three agents with high confidence; primary growing medium for plants in system.,Polyethylene,0.9,"Polyethylene is widely used for growing troughs due to chemical resistance, durability, and food safety, standard material with few substitutes.",390110,China,metric tons,36283333.333333336,31.17,0.877,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Hydroponic Growing Troughs,0.95,Strong consensus by three agents with high confidence; primary growing medium for plants in system.,Polyethylene,0.9,"Polyethylene is widely used for growing troughs due to chemical resistance, durability, and food safety, standard material with few substitutes.",390110,United States,metric tons,19506666.666666668,16.73,0.87,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Hydroponic Growing Troughs,0.95,Strong consensus by three agents with high confidence; primary growing medium for plants in system.,Polyethylene,0.9,"Polyethylene is widely used for growing troughs due to chemical resistance, durability, and food safety, standard material with few substitutes.",390110,Saudi Arabia,metric tons,10090000.0,8.7,0.807,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Hydroponic Growing Troughs,0.95,Strong consensus by three agents with high confidence; primary growing medium for plants in system.,Polyethylene,0.9,"Polyethylene is widely used for growing troughs due to chemical resistance, durability, and food safety, standard material with few substitutes.",390110,South Korea,metric tons,6446666.666666667,5.53,0.84,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Hydroponic Growing Troughs,0.95,Strong consensus by three agents with high confidence; primary growing medium for plants in system.,Polyethylene,0.9,"Polyethylene is widely used for growing troughs due to chemical resistance, durability, and food safety, standard material with few substitutes.",390110,Iran,metric tons,6470000.0,5.6,0.65,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Hydroponic Growing Troughs,0.95,Strong consensus by three agents with high confidence; primary growing medium for plants in system.,Polyvinyl chloride,0.85,"PVC is a common alternative material for troughs providing rigidity and chemical resistance, industry standard with some alternatives like polyethylene.",390410,China,metric tons,0.0,45.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d4v1v1,Hydroponic Systems,Hydroponic Growing Troughs,0.95,Strong consensus by three agents with high confidence; primary growing medium for plants in system.,Polyvinyl chloride,0.85,"PVC is a common alternative material for troughs providing rigidity and chemical resistance, industry standard with some alternatives like polyethylene.",390410,India,metric tons,0.0,12.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d4v1v1,Hydroponic Systems,Hydroponic Growing Troughs,0.95,Strong consensus by three agents with high confidence; primary growing medium for plants in system.,Polyvinyl chloride,0.85,"PVC is a common alternative material for troughs providing rigidity and chemical resistance, industry standard with some alternatives like polyethylene.",390410,Germany,metric tons,0.0,7.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d4v1v1,Hydroponic Systems,Hydroponic Growing Troughs,0.95,Strong consensus by three agents with high confidence; primary growing medium for plants in system.,Polyvinyl chloride,0.85,"PVC is a common alternative material for troughs providing rigidity and chemical resistance, industry standard with some alternatives like polyethylene.",390410,Italy,metric tons,0.0,5.0,0.75,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d4v1v1,Hydroponic Systems,Hydroponic Growing Troughs,0.95,Strong consensus by three agents with high confidence; primary growing medium for plants in system.,Polyvinyl chloride,0.85,"PVC is a common alternative material for troughs providing rigidity and chemical resistance, industry standard with some alternatives like polyethylene.",390410,United States,metric tons,0.0,4.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d4v1v1,Hydroponic Systems,Hydroponic Growing Troughs,0.95,Strong consensus by three agents with high confidence; primary growing medium for plants in system.,Stainless steel,0.6,Stainless steel is used in premium or commercial troughs for durability and corrosion resistance but less common due to cost.,722000,China,metric tons,31600000.0,56.53,0.913,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Hydroponic Growing Troughs,0.95,Strong consensus by three agents with high confidence; primary growing medium for plants in system.,Stainless steel,0.6,Stainless steel is used in premium or commercial troughs for durability and corrosion resistance but less common due to cost.,722000,India,metric tons,3800000.0,6.8,0.86,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Hydroponic Growing Troughs,0.95,Strong consensus by three agents with high confidence; primary growing medium for plants in system.,Stainless steel,0.6,Stainless steel is used in premium or commercial troughs for durability and corrosion resistance but less common due to cost.,722000,Japan,metric tons,3043333.3333333335,5.43,0.893,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Hydroponic Growing Troughs,0.95,Strong consensus by three agents with high confidence; primary growing medium for plants in system.,Stainless steel,0.6,Stainless steel is used in premium or commercial troughs for durability and corrosion resistance but less common due to cost.,722000,United States,metric tons,2473333.3333333335,4.43,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Hydroponic Growing Troughs,0.95,Strong consensus by three agents with high confidence; primary growing medium for plants in system.,Stainless steel,0.6,Stainless steel is used in premium or commercial troughs for durability and corrosion resistance but less common due to cost.,722000,South Korea,metric tons,2136666.6666666665,3.83,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Copper,0.9,"Copper is essential for electrical components including motor windings, universally used for electrical conductivity and reliability.",740100,CHINA,THOUSAND METRIC TONS,1700.0,3.47,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Copper,0.9,"Copper is essential for electrical components including motor windings, universally used for electrical conductivity and reliability.",740100,CHILE,THOUSAND METRIC TONS,5000.0,10.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Copper,0.9,"Copper is essential for electrical components including motor windings, universally used for electrical conductivity and reliability.",740100,OTHER,THOUSAND METRIC TONS,3100.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Copper,0.9,"Copper is essential for electrical components including motor windings, universally used for electrical conductivity and reliability.",740100,CONGO,THOUSAND METRIC TONS,2500.0,5.1,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Copper,0.9,"Copper is essential for electrical components including motor windings, universally used for electrical conductivity and reliability.",740100,PERU,THOUSAND METRIC TONS,2600.0,5.31,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Aluminum,0.75,"Aluminum is often used in motor housings and some mechanical components for weight reduction and corrosion resistance, common but can be substituted.",280300,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Aluminum,0.75,"Aluminum is often used in motor housings and some mechanical components for weight reduction and corrosion resistance, common but can be substituted.",280300,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Aluminum,0.75,"Aluminum is often used in motor housings and some mechanical components for weight reduction and corrosion resistance, common but can be substituted.",280300,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Aluminum,0.75,"Aluminum is often used in motor housings and some mechanical components for weight reduction and corrosion resistance, common but can be substituted.",280300,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Aluminum,0.75,"Aluminum is often used in motor housings and some mechanical components for weight reduction and corrosion resistance, common but can be substituted.",280300,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Stainless steel,0.7,"Stainless steel is used for internal mechanical parts contacting air or moisture for corrosion resistance, but alternatives exist.",722000,China,metric tons,31600000.0,56.53,0.913,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Stainless steel,0.7,"Stainless steel is used for internal mechanical parts contacting air or moisture for corrosion resistance, but alternatives exist.",722000,India,metric tons,3800000.0,6.8,0.86,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Stainless steel,0.7,"Stainless steel is used for internal mechanical parts contacting air or moisture for corrosion resistance, but alternatives exist.",722000,Japan,metric tons,3043333.3333333335,5.43,0.893,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Stainless steel,0.7,"Stainless steel is used for internal mechanical parts contacting air or moisture for corrosion resistance, but alternatives exist.",722000,United States,metric tons,2473333.3333333335,4.43,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Stainless steel,0.7,"Stainless steel is used for internal mechanical parts contacting air or moisture for corrosion resistance, but alternatives exist.",722000,South Korea,metric tons,2136666.6666666665,3.83,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Polyethylene,0.6,"Polyethylene may be used for some internal plastic components or tubing, moderately common but many polymer alternatives exist.",390110,China,metric tons,36283333.333333336,31.17,0.877,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Polyethylene,0.6,"Polyethylene may be used for some internal plastic components or tubing, moderately common but many polymer alternatives exist.",390110,United States,metric tons,19506666.666666668,16.73,0.87,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Polyethylene,0.6,"Polyethylene may be used for some internal plastic components or tubing, moderately common but many polymer alternatives exist.",390110,Saudi Arabia,metric tons,10090000.0,8.7,0.807,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Polyethylene,0.6,"Polyethylene may be used for some internal plastic components or tubing, moderately common but many polymer alternatives exist.",390110,South Korea,metric tons,6446666.666666667,5.53,0.84,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Air Pump/Compressor,0.95,Two agents with very high confidence; essential for continuous nutrient solution flow.,Polyethylene,0.6,"Polyethylene may be used for some internal plastic components or tubing, moderately common but many polymer alternatives exist.",390110,Iran,metric tons,6470000.0,5.6,0.65,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Solution Deposit,0.93,Strong consensus among four agents with average high confidence; critical for storing nutrient solution.,Polyethylene,0.9,Polyethylene is the standard material for nutrient reservoirs for chemical resistance and durability against the aqueous nutrient solutions.,390110,China,metric tons,36283333.333333336,31.17,0.877,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Solution Deposit,0.93,Strong consensus among four agents with average high confidence; critical for storing nutrient solution.,Polyethylene,0.9,Polyethylene is the standard material for nutrient reservoirs for chemical resistance and durability against the aqueous nutrient solutions.,390110,United States,metric tons,19506666.666666668,16.73,0.87,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Solution Deposit,0.93,Strong consensus among four agents with average high confidence; critical for storing nutrient solution.,Polyethylene,0.9,Polyethylene is the standard material for nutrient reservoirs for chemical resistance and durability against the aqueous nutrient solutions.,390110,Saudi Arabia,metric tons,10090000.0,8.7,0.807,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Solution Deposit,0.93,Strong consensus among four agents with average high confidence; critical for storing nutrient solution.,Polyethylene,0.9,Polyethylene is the standard material for nutrient reservoirs for chemical resistance and durability against the aqueous nutrient solutions.,390110,South Korea,metric tons,6446666.666666667,5.53,0.84,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Solution Deposit,0.93,Strong consensus among four agents with average high confidence; critical for storing nutrient solution.,Polyethylene,0.9,Polyethylene is the standard material for nutrient reservoirs for chemical resistance and durability against the aqueous nutrient solutions.,390110,Iran,metric tons,6470000.0,5.6,0.65,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Hydroponic Systems,Solution Deposit,0.93,Strong consensus among four agents with average high confidence; critical for storing nutrient solution.,Polyvinyl chloride,0.7,"PVC can be used as an alternative for reservoir tanks, providing rigidity and chemical resistance, though less common than polyethylene.",390410,China,metric tons,0.0,45.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d4v1v1,Hydroponic Systems,Solution Deposit,0.93,Strong consensus among four agents with average high confidence; critical for storing nutrient solution.,Polyvinyl chloride,0.7,"PVC can be used as an alternative for reservoir tanks, providing rigidity and chemical resistance, though less common than polyethylene.",390410,India,metric tons,0.0,12.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d4v1v1,Hydroponic Systems,Solution Deposit,0.93,Strong consensus among four agents with average high confidence; critical for storing nutrient solution.,Polyvinyl chloride,0.7,"PVC can be used as an alternative for reservoir tanks, providing rigidity and chemical resistance, though less common than polyethylene.",390410,Germany,metric tons,0.0,7.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d4v1v1,Hydroponic Systems,Solution Deposit,0.93,Strong consensus among four agents with average high confidence; critical for storing nutrient solution.,Polyvinyl chloride,0.7,"PVC can be used as an alternative for reservoir tanks, providing rigidity and chemical resistance, though less common than polyethylene.",390410,Italy,metric tons,0.0,5.0,0.75,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d4v1v1,Hydroponic Systems,Solution Deposit,0.93,Strong consensus among four agents with average high confidence; critical for storing nutrient solution.,Polyvinyl chloride,0.7,"PVC can be used as an alternative for reservoir tanks, providing rigidity and chemical resistance, though less common than polyethylene.",390410,United States,metric tons,0.0,4.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d4v1v1,Hydroponic Systems,Solution Deposit,0.93,Strong consensus among four agents with average high confidence; critical for storing nutrient solution.,Stainless steel,0.6,"Stainless steel used in heavy-duty or commercial reservoirs for corrosion resistance, but less common due to cost.",722000,China,metric tons,31600000.0,56.53,0.913,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Solution Deposit,0.93,Strong consensus among four agents with average high confidence; critical for storing nutrient solution.,Stainless steel,0.6,"Stainless steel used in heavy-duty or commercial reservoirs for corrosion resistance, but less common due to cost.",722000,India,metric tons,3800000.0,6.8,0.86,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Solution Deposit,0.93,Strong consensus among four agents with average high confidence; critical for storing nutrient solution.,Stainless steel,0.6,"Stainless steel used in heavy-duty or commercial reservoirs for corrosion resistance, but less common due to cost.",722000,Japan,metric tons,3043333.3333333335,5.43,0.893,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Solution Deposit,0.93,Strong consensus among four agents with average high confidence; critical for storing nutrient solution.,Stainless steel,0.6,"Stainless steel used in heavy-duty or commercial reservoirs for corrosion resistance, but less common due to cost.",722000,United States,metric tons,2473333.3333333335,4.43,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Solution Deposit,0.93,Strong consensus among four agents with average high confidence; critical for storing nutrient solution.,Stainless steel,0.6,"Stainless steel used in heavy-duty or commercial reservoirs for corrosion resistance, but less common due to cost.",722000,South Korea,metric tons,2136666.6666666665,3.83,0.867,LLM fallback cache (previously computed) - no USGS data available for Stainless steel
1,d4v1v1,Hydroponic Systems,Structural Frame,0.87,Strong support from four agents; provides necessary support structure for the system.,Aluminum,0.9,"Aluminum is the primary structural metal used in frames due to light weight, strength, and corrosion resistance, industry standard.",280300,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Hydroponic Systems,Structural Frame,0.87,Strong support from four agents; provides necessary support structure for the system.,Aluminum,0.9,"Aluminum is the primary structural metal used in frames due to light weight, strength, and corrosion resistance, industry standard.",280300,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Hydroponic Systems,Structural Frame,0.87,Strong support from four agents; provides necessary support structure for the system.,Aluminum,0.9,"Aluminum is the primary structural metal used in frames due to light weight, strength, and corrosion resistance, industry standard.",280300,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Hydroponic Systems,Structural Frame,0.87,Strong support from four agents; provides necessary support structure for the system.,Aluminum,0.9,"Aluminum is the primary structural metal used in frames due to light weight, strength, and corrosion resistance, industry standard.",280300,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Hydroponic Systems,Structural Frame,0.87,Strong support from four agents; provides necessary support structure for the system.,Aluminum,0.9,"Aluminum is the primary structural metal used in frames due to light weight, strength, and corrosion resistance, industry standard.",280300,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Hydroponic Systems,Structural Frame,0.87,Strong support from four agents; provides necessary support structure for the system.,Polyvinyl chloride,0.85,"PVC is used as a lightweight, corrosion resistant structural material and economically viable alternative to aluminum.",390410,China,metric tons,0.0,45.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
1,d4v1v1,Hydroponic Systems,Structural Frame,0.87,Strong support from four agents; provides necessary support structure for the system.,Polyvinyl chloride,0.85,"PVC is used as a lightweight, corrosion resistant structural material and economically viable alternative to aluminum.",390410,India,metric tons,0.0,12.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Polyvinyl chloride
